Unnamed: 0,סוג הנכס,עיר,שכונה,רחוב,חדרים,קומה,מחיר,מטרים,לשוטפים,ריהוט,מעלית,מזגן,חניה,מרפסת,סורגים,ממד,מחסן,משופצת,דוד שמש,חיות מחמד,תאור
10,דירה,רמת גן - גבעתיים,רמת גן,המשולש הגדול - קרית קריניצי החדשה,4.0,1,8000,108.0,0,0,1,1,1,1,0,1,1,0,0,0,"דירה חמודה, מטופחת, מוארת ומאווררת. ללא תיווך. קומה שמינית, 108 מ""ר פלוס 12 מ״ר מרפסת, 4 חדרים (כולל ממ""ד) + חדר שירות, חדר ארונות. לא מרוהטת. שני ארונות קיר גדולים. כיריים חשמליים. כיווני אוויר: צפון, מזרח, מערב. מזגן מיני מרכזי. 2 שירותים, אמבטיה, מקלחת. מעליות. נוף רחב ונהדר. פארק צמוד. שתי חניות תת קרקעיות זו לצד זו, ומחסן צמוד (5 מ""ר). חדר מועדון בקומה 1-"
11,דירה,אשדוד - אשקלון,אשקלון,שקמים,3.0,2,2600,60.0,0,0,0,1,0,0,0,0,0,1,0,0,"להשכרה!!!
דירת 3 חדרים במצב מעולה, מזגנים בכל החדרים ובסלון, פרקטים בחדרים. מקלחת ושירותים משופצים.
ללא תיווך.
כניסה מיידית מס בית 5 דירה 22  לא 304"
12,דירה,תל אביב,תל אביב יפו,תוכנית ל,4.0,1,8300,95.0,0,0,1,1,1,0,1,0,0,1,0,0,"ללא תיווך, להשכרה!! דירת 4 חדרים בלמד, שקטה יפהפייה. לטווח קצר. חניה פרטית. ללא מרפסת"
13,דירה,"ראשל""צ והסביבה",ראשון לציון,"רמב""ם",3.0,2,4700,80.0,0,0,0,1,0,0,0,0,0,0,0,0,"80 מ""ר, קומה 2 מתוך 4, יפהפייה.
דירה מרווחת מאד, 3 חדרים ענקיים, סלון גדול מרווח ומואר, קומה 2, חזית, רחוב שקט מאד, בסמיכות למדרחוב רוטשילד ומרכז העיר"
14,דירה,תל אביב,תל אביב יפו,הצפון הישן החלק הדרום מזרחי,2.0,0,6000,60.0,0,0,0,0,0,0,1,0,0,0,0,0,"ללא תווך בת""א 
דירת 2 חדרים גדולה ומסודרת
קומת קרקע
הדירה עם סורגים ומזגנים
רחוב מצפה .ליד עירית ת""א
6,000 לחודש
כניסה מיידית"
15,דירה,נס ציונה - רחובות,רחובות,וייסגל,5.0,1,6900,126.0,0,0,1,1,1,1,0,1,1,0,0,0,"דירת 5 חדרים מרווחות 126 מ""ר עם נוף פתוח לפארק. קומה 5 מתוך 9. שתי חניות מקורות ומחסן. הדירה כוללת 3 מקלחות ושירותים. יחידת מתבגר נפרדת. מזגני תדיראן בכל חדר. בקרבת בתי ספר וגנים. עדיפות להשכרה לטווח ארוך. כניסה ב 1.8.23"
16,דו משפחתי,ירושלים והסביבה,מבשרת ציון,הגפן 16,5.0,2,8500,130.0,0,0,0,1,1,1,0,0,1,1,1,0,"כניסה מידית,משופצת ברמה גבוהה,נוף מהמם ומקסים,מרפסת גג ענקית,דוד שמש עים קולטים,מזגנים בכל החדרים קור וחום,3 מרפסות קדמית ואחורנית,2 חניות,מיטבח עים 2 כיורים,כיווני אוויר מעולה,2 שירותים בשני הקומות,אפשרות לטווח ארוך,"
17,דירה,נתניה והסביבה,כפר יונה,חנה רובינא  1,4.0,1,5200,120.0,0,0,0,0,0,1,0,0,0,0,0,0,"דירה בבניין חדש של בריגה בשכונת ""יפה נוף"" החדשה בכפר יונה.
לובי מפואר, חדר כושר, מועדון דיירים, מגרש משחקים צמוד (חלק מהפרוייקט), מחסן צמוד לדירה, מרפסת עם נוף לשדות, וחניה תת קרקעית."
18,דירת גן,מושבים בשרון,עזריאל,הרימון 40,2.5,0,4000,78.0,0,0,0,0,0,1,0,0,0,0,0,0,דירת גן ממוקמת במקום מוקף עצי נוי ופרי מעוצבת כמלון בוטיק וכפרי עם מרפסת שמש חיצונית עם גינה פרטית כולל מיזוג שתי כניסות מקום שקט ואוירה נעימה ובריאה ללא זיהום להתעורר בבוקר עם פריחת עצי פרי בחדר השינה בקיצור מושלמת
19,דירה,רעננה - כפר סבא,כפר סבא,לוונברג 10,5.0,1,8500,130.0,0,0,1,1,1,1,0,1,1,0,0,0,"שקט מאוד, צמוד לפארק עם נוף אליו מחדרי השינה.
שתי חניות ומחסן
סלון מרווח מאוד."
20,יחידת דיור,חדרה וישובי עמק חפר,חניאל,הגיא 461,2.0,0,2800,30.0,0,0,0,1,0,1,1,1,0,1,0,0,"מחיר כולל ארנונה ומים, לא כולל חשמל, מונה חשמל נפרד, כלב רק בחצר ומחוסן וקשור, יש wifi יש חנייה ברחוב"
21,פרטי/קוטג',מושבים בדרום,שדה צבי,האלון 81,5.5,0,6000,135.0,0,0,0,1,1,1,0,1,0,0,0,0,"בית חדש בעיצוב מהמם 
4 חדרי שינה גדולים מרווחים(מתוכם 2 ממד""ים
2 מקלחות מרווחות
סלון גדול,מטבח ופינת אוכל
4 מרפסות
חנייה פרטית
נוף מהמם
5 דק מבית קמה / כביש 6 
לפרטים 
חיים 0506270981
טל 0549898323"
22,דירה,רמלה - לוד,רמלה,המרכז האזרחי;משכנות,3.0,5,5000,78.0,0,0,1,1,1,1,0,1,0,0,0,0,"דירה מהממת, חדשה מקבלן בשכונה חדשה, שני חדרי שירותים ומקלחות, הדירה מוארת עם מרפסת גדולה ונוף פתוח 78 מ""ר + 15 מ""ר מרפסת, חניה פרטית קרובה, אינטרקום tv, מיזוג מרכזי וגישה נוחה מאוד לכביש המהיר.
כניסה מידית."
23,יחידת דיור,נס ציונה - רחובות,קרית עקרון,שבזי 49,3.0,0,3500,45.0,0,0,0,1,1,1,0,0,0,1,0,0,"יחידת דיור שמורה ומיוחדת, 45 מ""ר ,3 חדרים, ממוקמת באיזור השקט ביותר בקרית עקרון .
המחיר כולל HOT ארנונה ואנטרנט. חשמל ומים שעונים נפרדים, .כניסה נפרדת  אפשרי לשלוח וואטסאפ. 3,500 ש""ח, חניה בשפע על הרחוב ובעלי דירה מקסימים"
24,דירה,ירושלים והסביבה,ירושלים,גילה,5.0,1,6900,130.0,0,0,0,0,0,1,0,0,0,0,0,0,"דירת 5 חדרים מרווחת מאוד כ-130 מ""ר בנוי ועוד 80 מטר מרפסת
קומת קרקע עם כניסה נפרדת חנייה בשפע ברחוב שירותים כפולים מזגנים וסורגים בדירה.
חייב לראות"
25,דירת גן,באר שבע והסביבה,דימונה,שלום שבזי 11,3.0,1,3000,62.0,0,0,0,1,0,1,1,0,0,1,0,0,מיקום מעולה משופצת ברמה גבוהה קרוב למרכז חנויות ובתי ספר וגנים דירת גן
26,דירה,רמת גן - גבעתיים,רמת גן,המשולש הגדול - קרית קריניצי החדשה,4.0,1,8000,108.0,0,0,1,1,1,1,0,1,1,0,0,0,"דירה חמודה, מטופחת, מוארת ומאווררת. ללא תיווך. קומה שמינית, 108 מ""ר פלוס 12 מ״ר מרפסת, 4 חדרים (כולל ממ""ד) + חדר שירות, חדר ארונות. לא מרוהטת. שני ארונות קיר גדולים. כיריים חשמליים. כיווני אוויר: צפון, מזרח, מערב. מזגן מיני מרכזי. 2 שירותים, אמבטיה, מקלחת. מעליות. נוף רחב ונהדר. פארק צמוד. שתי חניות תת קרקעיות זו לצד זו, ומחסן צמוד (5 מ""ר). חדר מועדון בקומה 1-"
27,דירה,אשדוד - אשקלון,אשקלון,שקמים,3.0,2,2600,60.0,0,0,0,1,0,0,0,0,0,1,0,0,"להשכרה!!!
דירת 3 חדרים במצב מעולה, מזגנים בכל החדרים ובסלון, פרקטים בחדרים. מקלחת ושירותים משופצים.
ללא תיווך.
כניסה מיידית מס בית 5 דירה 22  לא 304"
28,דירה,תל אביב,תל אביב יפו,תוכנית ל,4.0,1,8300,95.0,0,0,1,1,1,0,1,0,0,1,0,0,"ללא תיווך, להשכרה!! דירת 4 חדרים בלמד, שקטה יפהפייה. לטווח קצר. חניה פרטית. ללא מרפסת"
29,דירה,"ראשל""צ והסביבה",ראשון לציון,"רמב""ם",3.0,2,4700,80.0,0,0,0,1,0,0,0,0,0,0,0,0,"80 מ""ר, קומה 2 מתוך 4, יפהפייה.
דירה מרווחת מאד, 3 חדרים ענקיים, סלון גדול מרווח ומואר, קומה 2, חזית, רחוב שקט מאד, בסמיכות למדרחוב רוטשילד ומרכז העיר"
30,דירה,תל אביב,תל אביב יפו,הצפון הישן החלק הדרום מזרחי,2.0,0,6000,60.0,0,0,0,0,0,0,1,0,0,0,0,0,"ללא תווך בת""א 
דירת 2 חדרים גדולה ומסודרת
קומת קרקע
הדירה עם סורגים ומזגנים
רחוב מצפה .ליד עירית ת""א
6,000 לחודש
כניסה מיידית"
31,דירה,נס ציונה - רחובות,רחובות,וייסגל,5.0,1,6900,126.0,0,0,1,1,1,1,0,1,1,0,0,0,"דירת 5 חדרים מרווחות 126 מ""ר עם נוף פתוח לפארק. קומה 5 מתוך 9. שתי חניות מקורות ומחסן. הדירה כוללת 3 מקלחות ושירותים. יחידת מתבגר נפרדת. מזגני תדיראן בכל חדר. בקרבת בתי ספר וגנים. עדיפות להשכרה לטווח ארוך. כניסה ב 1.8.23"
32,דופלקס,נס ציונה - רחובות,מזכרת בתיה,העצמאות 1,5.0,0,8000,290.0,0,0,0,1,0,1,1,0,1,1,0,0,"בית קרקע במזכרת בתיה , רחוב העצמאות, 5 חדרים גדולים, 
מזגנים, כ-160 מ""ר בנוי בשתי קומות ו-150 מ""ר חצר.
מרחק הליכה מבתי הספר והמרכז"
33,יחידת דיור,זכרון - בנימינה,זכרון יעקב,יעקב,2.0,1,4200,65.0,0,0,0,1,0,0,0,0,0,0,0,0,"דירת 2 חדרים מהממת ומוארת בשמורה , דקה ממרכז מסחרי, שקטה ונעימה , מתאימה לזוג או יחיד מחיר כולל ארנונה ומים"
34,דירה,קיסריה והסביבה,אור עקיבא,מור 1,4.0,1,4800,114.0,0,0,1,1,1,1,0,1,1,0,0,0,דירה מהממת במודל הגדול. בבנינים  המאוכלסים בשנתיים האחרונות. מול שכונת הוילות.  מחסן גדול צמוד לדירה. אמבטיות משודרגות. לובי מפואר.  גמישות לרציניים
35,דירה,קריות,קרית ביאליק,אהוד מנור 9,5.0,4,5200,121.0,0,0,1,1,1,1,0,1,0,0,0,0,"דירה מרווחת מאוד עם נוף מהמם בכתובת אהוד מנור 19, נאות אפק, קרית ביאליק. 5 חדרים גדולים (סה""כ 121 מ""ר). מרפסת שמש ענקית (17.5 מ""ר). נוף לכיוון צפון מזרח. קומה 4 מתוך 9. חדר הורים כולל יחידת שרותים ומקלחת. רשתות בכל החלונות. מזגן מיני מרכזי בסלון ובמטבח. מזגן עילי בכל חדר. שרותי אורחים. 2 חניות. 2 מעליות. מחיר מבוקש - 5200 ש""ח, תאריך כניסה: 08/2023"
36,דירה,תל אביב,תל אביב יפו,פארק צמרת,3.0,14,10000,80.0,0,1,1,1,1,0,0,1,0,0,0,0,"במגדל הברונזה המפואר והמבוקש בפארק צמרת, דירת 3 חדרים מרוהטת קומפלט!! 
דירה מושקעת ומהממת בקומה גבוהה עם נוף לכיוון מזרח. הדירה מאובזרת במערכת רמקולים סראונד, ארונות קיר ב2 החדרים, וילונות בסלון ובחדר שינה, מוצרי חשמל וריהוט + חניה.
במגדל שומר 24/7, חניית אורחים, בריכת שחייה חיצונית חצי אולימפית, חדר כושר מאובזר, מתחם ספא הכולל ג'קוזי, סאונה יבשה ורטובה, חדר טיפולים ועוד. השכרה לטווח ארוך"
37,בית פרטי/קוטג',גליל ועמקים,כפר ורדים,חרמון 31,10.0,0,11000,650.0,0,0,0,1,1,1,0,1,1,1,0,0,"בית פרטי, 210 מ""ר בנוי על מגרש כ 650 מ""ר, כניסה משני רחובות, גינה ענקית, נוף לים לכיוון מערב, שתי חניות מקורות ,יחידה עיקרית ועוד שתי יחידות נפרדות עם כניסות נפרדות,מזגנים בכל החדרים"
38,דירה,חיפה וחוף הכרמל,חיפה,רמות רמז,3.0,3,3200,70.0,0,0,0,1,0,0,1,0,0,1,0,0,"להשכרה דירת 3 חדרים  מקסימה, שקטה ומטופחת.
ברחוב זלמן שניאור שברמות רמז. 
קרוב לטכניון והאוניברסיטה.
סופרמרקט באזור,
חנייה בשפע ברחוב"
39,דירה,באר שבע והסביבה,נתיבות,רפיח ים 19,4.0,5,3000,100.0,0,0,1,1,1,1,0,1,1,1,0,0,"דירה כחדשה , בניין של 5 שנים
דירה מקסימה ומוארת .
כניסה מיידית
מרפסת גדולה ומרווחת….ללא תווך"
40,בית פרטי/קוטג',בקעת אונו,יהוד מונוסון,"צה""ל 8",5.0,0,11000,250.0,0,0,0,1,1,1,0,1,0,1,0,0,משופצת לפני חודשיים גם בגינה  מיידי
41,דירה,עכו - נהריה,עכו,סשה ארגוב 4,3.0,10,3800,80.0,0,0,1,1,1,1,0,1,1,0,0,0,"דירה חדשה דנדשה מקבלן! קומה 10 מתוך 17. חניה פרטית, מחסן גדול,  מזגן מיני מרכזי חדש, כיווני אוויר ואור מצויינים, מרפסת , נוף לגנים הבהיים. מצויינת לזוגות ומשפחות.  לתווך ארוך"
42,דו משפחתי,יישובי השומרון,אורנית,הדולב 4,6.5,0,9800,406.0,0,0,0,1,0,1,0,0,1,1,0,0,"להשכרה באורנית
בית מקסים, רחב ידיים, מלא באור.
סלון גדול מאוד , מטבח ופינת אוכל מרווחים.                        יחידת הורים ענקית עם חדר ארונות ומרפ.
מפלס ילדים מרווח הכולל 3 חדרים,חדר כביסה וחצי חדר מחשב.
סהכ 6.5 חדרים
שתי מקלחות 3 שרותים
 בשכונת נופית המבוקשת במיקום מרכזי ונוח ביישוב, רחוב קטן ומיוחד עם חניה וטבע בשפע . 
חצר היקפית גדולה עם פרגולה .
 ניתן להשכיר עם יחידת דיור בנוסף בתוספת תשלום"
43,בית פרטי/קוטג',רעננה - כפר סבא,כוכב יאיר / צור יגאל,דן 1,5.0,0,12500,815.0,0,1,0,1,1,1,0,1,1,0,0,0,"
פירוט ריהוט
                תאריך כניסה גמיש באוגוסט 23. לא למתווכים.
            "
44,בית פרטי/קוטג',עכו - נהריה,שלומי,חורשת האקליפטוס 78,5.5,0,6500,300.0,0,0,0,1,1,1,0,1,1,1,0,0,בית חדש  עם מרתף בשכונת יערית
45,דירה,ראש העין והסביבה,כפר קאסם,עלי בן אבו טאלב 16,3.0,4,2500,120.0,0,0,1,0,1,1,0,0,0,0,0,0,"דירה חדשה בת 10 חודשים בלבד עם שלושה חדרי שינה ושתי מרפסות ושני חדרי שירותים ומקלחון הכל חדש הדירה מרווחת וגדולה באיזור בניה חדש ושקט עם כניסה ויציאה קלה מאוד לכביש 5 וכביש 444 , שכנים שקטים ורובם אקדמאיים אווירה מאוד נוחה ממליצה בחום לבוא לראות!!
קיימת אפשרות להשאיר שני מזגני אלקטרה, תנור אפיה, גז, ארונות וספה במצב מצוין תמורת מחיר סמלי
כניסה מיידית!!"
46,יחידת דיור,מושבים בשפלה,בית חשמונאי,שמעון התרסי 19,2.5,1,3700,60.0,0,0,0,0,0,1,0,1,0,1,0,0,"בבית חשמונאי, יחידה בת 2.5 חדרים להשכרה, פרטיות מולטת, כניסה נפרדת עם פינות ישיבה בגינה, רהוט חלקי, מתאים ליחד/ה ללא בעח ואו מעשנים"
47,דירה,חיפה וחוף הכרמל,חיפה,נוה שאנן,3.0,3,3000,65.0,0,0,0,1,0,0,1,0,0,1,0,0,"דירת 3 חדרים, משופצת. תעבור צביעה בכל הבית.
2 חדרי שינה גדולים וחדר שירות גדול. תריס חשמלי בסלון. 
נוף משגע למפרץ. מיקום נגיש- קרוב לתחנת אוטובוס, שופרסל, חנות חיות, דואר, מספרה, קופת חולים וגני שעשועים, 
גישה נוחה- 4 מדרגות מהכניסה לבנין. 
3,000 שח לחודש עם גמישות לרציניים, פרטי לא מתיווך!"
48,דירה,רמת השרון - הרצליה,הרצליה,מרכז,4.0,2,8000,115.0,0,0,1,1,1,0,0,0,0,1,1,0,"דירת 4 חדרים + פינת אוכל .ללא תיווך ברח סמילנסי 9 הרצליה הירוקה כ 100 מבית ספר אלון. קומה ב ,3 כיווני אויר כ115 מטר מוארת . שרותים כפולים .יחידת הורים, 3חדרי שינה עם פרקט  וארונות קיר,מעלית ,חניה פרטית ,דוד שמש,רשתות בחלונות וגם רשת נגד יונים .לתקופה ארוכה. זמין יוני 23 .וועד בית כ275.ארנונה לחודשים כ713 שח"
49,דירה,חיפה וחוף הכרמל,חיפה,הדר הכרמל,3.0,3,3100,86.0,0,1,0,1,0,1,1,0,0,0,0,0,"דירת 3 חדרים ענקיים, 86 מ""ר, שמורה
עברה שיפוץ לפני 6 שנים
מקלחון חדש
2 מזגנים
שלוש מרפסות, אחת גדולה 10~ מ""ר (בתמונה) ושתיים קטנות
יש אפשרות לרכוש חלק מהריהוט מהדיירים שיוצאים

מחפשים דיירים לטווח ארוך"
50,יחידת דיור,עמק יזרעאל,עדי,אודם 1,2.0,1,3200,55.0,0,0,0,1,0,1,1,0,0,0,0,0,"יחידת דיור חדשה!!!   2 חדרים
מרפסת גדולה מאוד
נוף ליער"
51,בית פרטי/קוטג',מושבים בשרון,גן יאשיה,המייסדים 26,2.0,0,3500,50.0,0,0,0,1,1,1,1,0,1,1,0,0,"יש בסיס מיטה, מקרר, מזגן, ארון, שולחן אוכל, טלוויזיה ועוד"
52,דירה,ירושלים והסביבה,ירושלים,גילה,3.0,1,4500,60.0,0,1,0,1,0,0,0,0,0,0,0,0,"דירת 3 חדרים, 60 מט״ר 
מחולקת היטב ונעימה.
מקלחת לאחר שיפוץ.
קומה ראשונה
קרוב לבתי כנסת, מכולת, אוטובוסים וקופת חולים כללית.
פארק משחקים. 
ריהוט חלקי- 2 ארונות קיר בחדרים"
53,דירה,רמת השרון - הרצליה,רמת השרון,הדר,4.0,1,9000,120.0,0,0,1,1,1,0,1,0,0,1,0,0,"להשכרה דירת 4 חדרים גדולה 120 מ""ר, אחרי שיפוץ כללי, מיקום מעולה, שקטה, מרווחת, נוף לגינה, קומה א', חניה, מעלית, מזגן בכל חדר."
54,דירה,באר שבע והסביבה,באר שבע,נווה זאב,3.5,9,4000,91.0,0,0,1,1,1,0,1,1,0,1,0,0,"דירה מהממת 3.5 חדרים, משופצת מלא כולל פרקט בכל הדירה. בבניין מנהטן היוקרתי והמתוחזק היטב, במיקום מושלם למשפחות, צמוד למסגרות חינוך ומרכזים מסחריים. כרגע מושכרת למשפחה נפלאה ומתפנה ב-1.8, מתאים לרכישה עבור מגורים או השקעה. מפורסם באופן פרטי ללא תיווך"
55,דירה,אשדוד - אשקלון,אשדוד,רובע ה,2.5,3,3300,42.0,0,0,0,1,0,0,1,0,0,1,0,0,"דירת סטודיו 2.5 חדרים, חדר שינה, סלון מטבח, וחדר מרפסת סגורה, שירותים ומקלחת. 
שכונה שקטנה במרכז העיר, סמוך לקניון לב אשדוד, כרבע שעה הליכה מחופי אשדוד לידו וקשתות, כרבע שעה מקניון הסיטי תחנה מרכזית ומסטאר סנטר"
56,יחידת דיור,אשדוד - אשקלון,ניצן,הגאולה 18,3.0,1,4200,90.0,0,0,0,1,1,1,0,1,0,0,0,0,"3 חדרים, מושקעת, מזגן מרכזי מטבח גדול וחצר. מתאים לרווקים , זוגות נשואים. יישוב בין אשדוד לאשקלון. לא מרתף. טופוגרפיה מעניינת. פרטים נוספים בטלפון"
57,דירת גן,ראש העין והסביבה,ראש העין,שמואל הנביא 27,5.0,0,8500,260.0,0,0,1,1,1,1,0,1,0,0,0,0,"דירת גן 5 חדרים, חדשה מהניילונים
130 מ""ר+130 מ""ר גינה 
3 שירותים
2 חניות
קו ראשון לנוף הכי יפה בעיר
כניסה מיידית"
58,דירת גן,אשדוד - אשקלון,אשקלון,נווה ההדרים,3.0,1,4000,50.0,0,0,0,1,1,1,1,0,0,0,0,0,"להשכרה ללא תיווך:
דירת גן 3 חדרים:
חדר שירות קטן, 2 שירותים,
ממ""ק,
חניה פרטית (הכי קרובה לכניסה)
במיקום מרכזי רחוב ליד אלי כהן. 
גודל הדירה 75 לפי ארנונה
הגן מהמרת 50 מ""ר..
מזגנים בכל חדר וגינות ציבוריות מקיפות את הבית מכל הכיוונים. 
שכר דירה 4,000
ארנונה 250 לחודש
ועד בית 120
כניסה מיידית.
מוזמנים להגיע לראות את הבית"
59,דירת גן,חיפה וחוף הכרמל,חיפה,הדר הכרמל,2.0,0,2500,60.0,0,0,0,1,0,0,0,0,0,0,0,0,דירת 2 חדרים עם גינה מפנקת בשכונה שקטה ונעימה
60,יחידת דיור,מושבים בשרון,שער אפרים,שדרות הזיתים 15,3.0,1,4200,65.0,0,0,0,1,1,1,0,0,0,1,0,0,"להשכרה, יחידת דיור, קומה ראשונה, בשער אפרים"
61,דירה,אשדוד - אשקלון,אשקלון,ברנע,4.0,3,3500,95.0,0,0,0,1,0,0,0,0,0,1,0,0,"למכירה דירה 4 חדרים קומה ג ללא מעלית משופצת עם נוף לים מקום שקט ומרווח
שד ירושלים 25 דירה מס 5"
62,דירה,אשדוד - אשקלון,אשדוד,רובע א,2.0,1,3200,50.0,0,0,0,1,0,0,1,0,0,1,0,0,"דירה אחרי שיפוץ
2 חדרים שהוסבה לסטודיו גדול
קומה 1
כ 50 מטר
ארנונה לחודשיים 320 ש""ח
לא מתיווך ולא למתווכים"
63,דו משפחתי,נס ציונה - רחובות,מזכרת בתיה,גבעתי 17,5.5,0,9000,450.0,0,0,0,1,1,1,0,1,0,0,0,0,"דו משפחתי יפה ,בשכונה שקטה"
64,יחידת דיור,אשקלון,נווה דקלים,דרך הגן 18,3.0,2,3800,70.0,0,0,0,1,1,1,0,0,0,0,0,0,"להשכרה מחודש יולי,
דירה בת 3 חדרים 2 מרפסות גדולות.
מאובזרת חלקית, מזגנים בכל חדר ומקלחת על גז"
65,דירה,רעננה - כפר סבא,רעננה,שברץ 5,5.0,3,7000,120.0,0,0,1,1,1,1,0,1,1,1,0,0,"דירה משופצת 5.5 חדרים.
שירותים כפולים.
מרפסת שמש.
חניה מקורה.
מחסן.
בניין חדש"
66,דירה,באר שבע והסביבה,באר שבע,נחל קדרון 46,4.0,1,3800,117.0,0,0,1,1,1,1,0,1,0,0,0,0,"דירה 4 חדרים חדשה מקבלן בשכונת הפארק  הדירה משודרגת
מזגנים בכל החדרים , רשתות בחלנות ,
מטבח משודרג,חניה פרטית"
67,דירה,יוקנעם עילית,שער הגיא,הגיא 1,4.0,4,5300,124.0,0,0,1,1,1,1,0,1,1,0,0,0,"דירה חדשה בפרוייקט יהלום היוקרתי
4 חדרים עם מרפסת 12מ הפונה לכוון צפון מזרח
מזגנים חסכוניים בכל חדר
קבלת מפתח לקראת אוג' - אולי לפני.
רחוב דרך הארגמן"
68,בית פרטי/קוטג',מושבים בצפון,מטולה,האירוס 18,5.5,0,5500,360.0,0,1,0,1,1,1,1,1,0,0,0,0,"בית עם ריהוט כמעט מלא, 4 חדרי שינה בכולם ארונות בגדים, 2 ספות נפתחות, בסלון פינת ישיבה, במטבח פינת אוכל. תנור אפייה וכיריים על גז"
69,דירה,פרדס חנה - כרכור,פרדס חנה כרכור,שומר 1,4.0,3,5000,114.0,0,0,1,1,1,1,0,1,1,0,0,0,"דירה חדשה, מושקעת ומוארת. 4 חדרים + מחסן, חניה מקורה, מיקום מרכזי. ללא תיווך. מתווכים נא לא להתקשר"
70,דירה,תל אביב,תל אביב יפו,שיכון בבלי,2.5,4,7300,60.0,0,0,1,1,0,0,0,0,0,0,0,0,"2.5 חדרים ,חצי חדר פתוח,מעלית וחניה משותפת בבניין,מתאים לזוגות ,כניסה 1.9.23"
